,matrikel_num,Studienjahr,geschlecht,avgECTS_sem_before,ects_year_before,year,first_exam_negative,AHS_dummy,BHS_dummy,ausland_vorbildung_dummy,sonstige_vorbildung_dummy,delayed_dummy,num_parallel_studies,jus_dummy,bwl_dummy,years_since_matura,styria_dummy,not_styria_dummy,germany_dummy,other_foreign_dummy,years_since_18,planned_duration,full_duration_sem,full_duration_sem_before,firstGen,cum_ects_pos_before,status_key,ECTS_year,SWS_year,active_dummy,subject
6840,1632701,4.0,0,10.5,11.0,19,0.0,0,0,1,0,0,1,0.0,0.0,1.0,0,0,1,0,2.0,6,8.0,6.0,1.0,63.0,I,4.0,2.0,0,Padagogik
1967,1632702,1.0,0,0.0,,16,0.0,0,1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,3.0,6,2.0,0.0,1.0,0.0,I,40.0,23.0,1,Padagogik
6841,1632702,2.0,0,20.0,40.0,17,0.0,0,1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,3.0,6,4.0,2.0,1.0,40.0,I,25.5,15.0,1,Padagogik
6842,1632702,3.0,0,16.375,25.5,18,0.0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,0,0,3.0,6,6.0,4.0,1.0,65.5,I,41.0,22.0,1,Padagogik
6843,1632702,4.0,0,17.75,41.0,19,0.0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,0,0,3.0,6,8.0,6.0,1.0,106.5,I,41.0,16.0,1,Padagogik
1971,1633279,1.0,0,0.0,,16,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,2.0,0.0,1.0,0.0,I,22.5,14.0,1,Padagogik
6847,1633279,2.0,0,11.25,22.5,17,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,1.0,6,4.0,2.0,1.0,22.5,I,37.0,20.0,1,Padagogik
6848,1633279,3.0,0,14.875,37.0,18,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,1.0,6,6.0,4.0,1.0,59.5,I,31.0,16.0,1,Padagogik
6849,1633279,4.0,0,15.083333333333334,31.0,19,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,1.0,6,8.0,6.0,1.0,90.5,I,27.0,8.0,1,Padagogik
1973,1633587,1.0,0,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1.0,6,2.0,0.0,1.0,0.0,I,41.0,23.0,1,Padagogik
6852,1633587,2.0,0,20.5,41.0,17,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1.0,6,4.0,2.0,1.0,41.0,I,62.0,28.0,1,Padagogik
6853,1633587,3.0,0,25.75,62.0,18,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1.0,6,6.0,4.0,1.0,103.0,I,50.0,25.0,1,Padagogik
6854,1633587,4.0,0,30.6,50.0,19,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1.0,6,7.739726,5.0,1.0,153.0,X,25.0,15.0,1,Padagogik
